                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3998,                 2.7087,                 1.5107,                0.45831,                0.42839,                0.38594,                0.16339,                 1.9058,                 2.2739,                 1.8921,             0.00023727,             0.00023727,             0.00023727
                      2,                 1.2997,                 1.8295,                 1.4587,                0.53592,                0.46026,                0.46034,                0.20543,                 1.8237,                 1.8963,                 1.8203,             0.00047056,             0.00047056,             0.00047056
                      3,                 1.2682,                 1.6847,                 1.4217,                 0.6096,                0.43566,                0.47816,                0.19741,                 1.9476,                 1.8898,                 1.9355,             0.00069915,             0.00069915,             0.00069915
                      4,                 1.2466,                 1.6091,                 1.3997,                0.63797,                0.50366,                0.54252,                0.23128,                 1.8842,                  1.761,                 1.9684,             0.00069279,             0.00069279,             0.00069279
                      5,                  1.221,                 1.5212,                 1.3746,                0.61402,                0.54144,                0.56964,                0.25943,                 1.8518,                 1.6572,                 1.8677,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.2006,                 1.4739,                 1.3629,                0.67826,                0.56646,                0.59777,                0.29466,                 1.6721,                 1.4922,                 1.7706,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.1784,                 1.4313,                 1.3457,                0.69457,                0.56806,                0.60351,                0.29569,                 1.7861,                 1.5232,                 1.8732,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.1727,                 1.3719,                 1.3351,                0.68929,                0.53442,                0.57589,                0.25482,                 1.8503,                 1.5958,                  1.912,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.1609,                 1.3484,                 1.3306,                0.74874,                0.58319,                0.63757,                0.29745,                  1.802,                 1.4571,                 1.8224,             0.00066452,             0.00066452,             0.00066452
                     10,                  1.143,                 1.3067,                 1.3157,                 0.7721,                0.57803,                0.64913,                0.31232,                 1.7571,                 1.3437,                 1.7792,             0.00065745,             0.00065745,             0.00065745
                     11,                 1.1399,                 1.2865,                 1.3062,                0.79738,                0.57091,                0.65887,                0.30373,                 1.7928,                 1.3719,                 1.8291,             0.00065038,             0.00065038,             0.00065038
                     12,                 1.1148,                 1.2536,                  1.299,                0.80629,                0.57285,                0.65359,                0.33264,                 1.6806,                 1.2732,                 1.7131,             0.00064331,             0.00064331,             0.00064331
                     13,                 1.1165,                 1.2159,                 1.2896,                0.77968,                0.56463,                0.63945,                0.29524,                 1.7572,                 1.3548,                 1.7903,             0.00063625,             0.00063625,             0.00063625
                     14,                 1.0982,                 1.2042,                 1.2839,                 0.7561,                0.61808,                0.65694,                0.31861,                 1.7483,                 1.2663,                 1.7628,             0.00062918,             0.00062918,             0.00062918
                     15,                 1.0831,                 1.1743,                  1.274,                0.79124,                0.60016,                0.66299,                0.33153,                 1.6736,                  1.259,                 1.6983,             0.00062211,             0.00062211,             0.00062211
                     16,                 1.0843,                 1.1505,                 1.2698,                0.81978,                0.62377,                 0.6844,                0.34873,                 1.6657,                 1.2307,                 1.7108,             0.00061504,             0.00061504,             0.00061504
                     17,                 1.0802,                 1.1331,                 1.2654,                 0.8142,                 0.6215,                0.68021,                0.34873,                 1.6387,                 1.2103,                 1.6645,             0.00060797,             0.00060797,             0.00060797
                     18,                  1.071,                 1.1245,                 1.2589,                0.78963,                 0.6131,                0.67487,                0.34228,                 1.6464,                 1.2336,                 1.6834,              0.0006009,              0.0006009,              0.0006009
